w_lya,w_SiIV,CIV,CIII,MgII
2637.8629784987997,3033.7247600306996,3363.3816595276,4143.1883438251,6075.915062354399
3884.5678389024,4467.5215244136,4952.9806252448,6101.3389710248,8947.5095694912
3802.93772182428,4373.64124732467,4848.89893454156,5973.12573465131,8759.48704446264
2839.69894783848,3265.8500761072196,3620.73065871496,4460.20421703346,6540.81343510224
3100.86117188016,3566.20468584924,3953.7230247563202,4870.40152118332,7142.36078752608
4189.9528628568,4818.7354108302,5342.3588442936,6580.9952996286,9650.917396958399
3826.39822168188,4400.6224438010695,4878.81201781676,6009.97422539651,8813.52472785144
2681.0743232223604,3083.42079332379,3418.4778663857205,4211.05871512147,6175.44580462968
3635.5426141242,4181.12530276005,4635.4634226434,5710.20477753965,8373.9179438196
3157.61654018304,3631.47728245056,4026.08840779008,4959.54496127808,7273.088122475519
3304.7762175604803,3800.72108342772,4213.72293010896,5190.68291838996,7612.04799553824
4528.23176858988,5207.77953498807,5773.67808893276,7112.31676348751,10430.09126435544
4537.19709474876,5218.09027977339,5785.10924127852,7126.39825109427,10450.741525832878
3855.47449140828,4434.06216380067,4915.88543410956,6055.64318651931,8880.49748065464
3190.43272073136,3669.21815840604,4067.93036117872,5011.08805424572,7348.67518947168
3084.57334540212,3547.4725595499294,3932.95538925124,4844.81886834649,7104.844263340559
3348.9087615984004,3851.4765596076,4269.993703236801,5260.0001814668,7713.7005799392
4365.80227371288,5020.97438840382,5566.57393360376,6857.19510047726,10055.95969552944
4514.5012591411205,5191.98850003968,5756.17113575424,7090.75078861824,10398.46512992256
3665.90304740244,4216.04189960841,4674.17419924388,5757.89072419313,8443.848571512719
3484.9996636228802,4007.9905038313195,4443.51509067376,5473.75284548476,8027.16521710944
2690.99607728796,3094.8314963121898,3431.12850287692,4226.64242668267,6198.2990519224795
4455.10516824204,5123.678889920309,5680.43872493308,6997.45966868983,10261.65529321752
4619.83420343952,5313.128666822279,5890.47488689104,7256.193129860039,10641.083502461759
4105.86879949428,4722.032925892169,5235.14827313156,6448.9277456788095,9457.242580922639
3820.9099948968,4394.3106036402,4871.8143073736,6001.354081958601,8800.8834344784
4415.5854467789995,5078.2284785497495,5630.049486583,6935.3875858517495,10170.627642102
3436.8714529983604,3952.63973488779,4382.14968153772,5398.15974497347,7916.30922411768
2447.2445456861997,2814.5003863405495,3120.3354717173997,3843.7914170761496,5636.854574175599
4609.1610506838,5300.853803401949,5876.8661867726005,7239.4292257263505,10616.4995228844
3091.77862488612,3555.7591290009295,3942.1424111192396,4856.13591938949,7121.440525732559
3164.81483932848,3639.7558240297194,4035.26652944496,4970.85104857596,7289.668306722239
3755.61263901096,4319.214130877939,4788.55754574792,5898.79407562242,8650.480933896479
4661.07356120172,5360.55677880183,5943.0567308604395,7320.96617826319,10736.07207352536
3127.06003036128,3596.3351840239197,3987.12762569056,4911.55104485656,7202.70586236864
3213.7771797518403,3696.06589989876,4097.6954877076805,5047.75428418068,7402.44559048992
4290.706177645679,4934.608687123019,5470.82338314936,6739.24459568286,9882.987291375839
4054.60409574792,4663.07497305738,5169.78370879784,6368.40827793434,9339.16215438096
4488.9572145054,5162.61108304935,5723.6014488758,7050.62975547455,10339.6283189052
3768.3651257382,4333.880372093549,4804.8174805214,5918.82390840515,8679.854342151599
3477.11606876712,3998.9238248161796,4433.46318935624,5461.37039098274,8009.00655871056
2475.29543114256,2846.76084355284,3156.1014817211203,3887.8498471781204,5701.4655106972805
3815.5588313856,4388.1563957184,4864.9913581312,5992.9492184512,8788.557845452799
4540.59931710996,5222.00307065769,5789.44721197092,7131.74198886417,10458.578026158479
2502.71305381968,2878.29300479652,3191.0600561473602,3930.9136361683604,5764.617822987841
3004.9049537988003,3455.8484023557,3831.3749776276,4719.6868375501,6921.3402737544
2966.64878420196,3411.85116297069,3782.59681885492,4659.59936627317,6833.22302165448
